Temperature/C,Humidity/%RH,Accx/mg,Accy/mg,Accz/mg
20.23,1,187,187,187
20.32,32,187,187,187
20.3,32,187,187,187
20.19,32,468,468,468
20.3,32,281,281,281
20.25,32,328,328,328
20.25,32,281,281,281
20.15,32,562,562,562
20.11,32,187,187,187
20.15,32,234,234,234
20.13,32,187,187,187
20.19,32,234,234,234
20.13,32,187,187,187
20.21,32,281,281,281
20.25,32,234,234,234
20.26,32,234,234,234
20.3,32,187,187,187
20.19,32,187,187,187
20.19,32,234,234,234
20.23,32,187,187,187
20.21,32,515,515,515
20.15,32,281,281,281
20.08,32,140,140,140
20.08,32,234,234,234
20.11,32,234,234,234
20.06,32,187,187,187
20.1,32,187,187,187
20.08,32,234,234,234
20.13,32,140,140,140
20.08,32,234,234,234
20.11,32,187,187,187
20.13,32,281,281,281
20.1,32,234,234,234
20.06,32,187,187,187
20.08,32,140,140,140
20.06,32,93,93,93
20.11,32,187,187,187
20.28,32,234,234,234
20.41,32,234,234,234
20.66,32,187,187,187
20.79,32,281,281,281
20.9,32,328,328,328
20.85,59,234,234,234
20.92,59,328,328,328
20.85,59,187,187,187
20.96,59,187,187,187
20.86,59,187,187,187
20.85,59,234,234,234
20.88,59,187,187,187
20.83,59,140,140,140
20.83,59,234,234,234
20.88,59,187,187,187
21.45,59,234,234,234
21.58,59,281,281,281
21.73,59,234,234,234
22.03,59,234,234,234
22.35,59,140,140,140
22.66,59,93,93,93
23.43,59,-421,-421,-421
24.05,59,140,140,140
24,59,140,140,140
23.92,59,234,234,234
23.92,59,281,281,281
23.81,59,93,93,93
23.64,59,93,93,93
23.6,59,187,187,187
23.56,59,93,93,93
23.53,59,140,140,140
23.49,59,187,187,187
23.49,59,187,187,187
23.32,59,375,375,375
23.3,59,140,140,140
23.3,59,187,187,187
23.4,59,187,187,187
23.25,59,187,187,187
23.25,59,140,140,140
23.26,59,234,234,234
23.17,59,140,140,140
23.25,59,93,93,93
23.21,59,140,140,140
23.17,59,234,234,234
23.13,59,234,234,234
23.15,59,234,234,234
23.04,59,281,281,281
23.15,59,281,281,281
23.08,60,281,281,281
22.96,61,281,281,281
22.93,62,281,281,281
22.87,63,281,281,281
22.85,64,281,281,281
22.76,64,93,93,93
22.85,63,187,187,187
22.7,61,234,234,234
22.74,60,234,234,234
22.72,60,187,187,187
22.66,59,140,140,140
22.65,59,140,140,140
22.65,59,140,140,140
22.5,59,421,421,421
22.48,59,281,281,281
22.46,59,234,234,234
22.4,60,234,234,234
22.36,62,234,234,234
22.31,63,281,281,281
22.29,64,281,281,281
22.25,64,234,234,234
22.31,64,281,281,281
22.14,65,234,234,234
22.14,66,234,234,234
22.1,64,234,234,234
22.16,63,140,140,140
22.14,32,140,140,140
22.01,61,140,140,140
22.03,60,140,140,140
22.05,59,140,140,140
22.12,59,187,187,187
22.05,59,187,187,187
22.06,60,187,187,187
22.03,60,187,187,187
22.12,60,187,187,187
22.05,61,140,140,140
22.12,61,187,187,187
22.12,60,187,187,187
22.03,60,140,140,140
22.03,59,187,187,187
22.03,59,140,140,140
22.05,59,187,187,187
22.06,59,187,187,187
22.01,59,187,187,187
22.03,59,46,46,46
21.95,59,234,234,234
22.01,59,0,0,0
21.93,59,234,234,234
21.95,59,93,93,93
21.93,59,140,140,140
21.97,59,140,140,140
21.84,59,140,140,140
21.9,59,93,93,93
21.82,59,93,93,93
21.8,59,140,140,140
21.75,59,140,140,140
21.69,59,140,140,140
21.65,59,93,93,93
21.61,59,93,93,93
21.58,59,93,93,93
21.54,59,93,93,93
21.56,59,140,140,140
21.45,59,140,140,140
21.37,59,93,93,93
21.35,59,93,93,93
21.33,59,46,46,46
21.33,59,140,140,140
21.24,59,93,93,93
21.24,59,93,93,93
21.15,59,140,140,140
